City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,salinopolis,-0.6136,-47.3561,27.86,86,49,3.97,BR,1712946341
1,papatowai,-46.5619,169.4708,5.95,91,64,0.89,NZ,1712946622
2,inhambane,-23.865,35.3833,22.02,74,88,3.32,MZ,1712946625
3,kerema,-7.9631,145.7785,25.9,87,100,2.07,PG,1712946628
4,bilibino,68.0546,166.4372,-12.08,79,100,0.81,RU,1712946631
5,nemuro,43.3236,145.575,3.88,97,52,3.1,JP,1712946634
6,kodiak,57.79,-152.4072,3.73,60,100,6.69,US,1712946636
7,cadale,2.7603,46.3222,29.63,77,97,6.7,SO,1712946639
8,chonchi,-42.6128,-73.8092,16.56,47,0,2.02,CL,1712946641
9,port-aux-francais,-49.35,70.2167,8.42,98,100,17.12,TF,1712946644
10,afaahiti,-17.75,-149.2833,27.93,85,100,12.71,PF,1712946647
11,avarua,-21.2078,-159.775,26.03,94,10,4.12,CK,1712946650
12,bahia blanca,-38.7196,-62.2724,11.87,84,100,2.67,AR,1712946654
13,ilulissat,69.2167,-51.1,-4.99,86,75,2.06,GL,1712946657
14,dedougou,12.4667,-3.4667,37.63,8,15,3.86,BF,1712946659
15,hawaiian paradise park,19.5933,-154.9731,22.8,96,100,2.06,US,1712946662
16,sisimiut,66.9395,-53.6735,-2.95,80,100,1.62,GL,1712946666
17,colonia,50.9333,6.95,19.42,69,20,2.06,DE,1712946385
18,praya,14.9215,-23.5087,27.3,57,63,6.69,CV,1712946672
19,jingzhou,30.3503,112.1903,17.81,91,100,2.35,CN,1712946676
20,bethel,41.3712,-73.414,14.19,89,100,5.14,US,1712946668
21,grand gaube,-20.0064,57.6608,27.22,89,100,4.19,MU,1712946682
22,walvis bay,-22.9575,14.5053,17.53,82,0,3.09,NA,1712946685
23,edinburgh of the seven seas,-37.0676,-12.3116,19.11,93,87,9.98,SH,1712946687
24,jaguey grande,22.5269,-81.1286,31.39,52,90,5.21,CU,1712946690
25,grytviken,-54.2811,-36.5092,2.91,98,100,7.75,GS,1712946693
26,puerto ayora,-0.7393,-90.3518,28.98,89,71,3.58,EC,1712946677
